epoch train_bce val_bce train_raw_mse val_raw_mse train_sign val_sign
1 0.6879584179621309 0.689024559436021 132.14124907750517 132.29841658980757 0.5097206033139313 0.5097839619274492
2 0.6885058662118433 0.688626335726844 132.2523544520548 132.27286326090496 0.5125968178268826 0.5097484681341383
3 0.6855733005034713 0.6807617377351831 131.82673200095937 131.0347126148365 0.5120630507094364 0.5099192508944759
4 0.6802986534840907 0.6802699153070096 130.87711666179342 130.82157677544487 0.5115048225534095 0.5099051020763539
5 0.6800122842319013 0.6802071856127845 130.71829850706337 130.6962728994864 0.5125340324403099 0.5096281003068994
6 0.6798871255200903 0.6801603946420881 130.64014477117033 130.61638748734086 0.5133907852885152 0.5094943527822141
7 0.6797988565234055 0.6800868581842493 130.587227897868 130.62016946298104 0.5138687430373687 0.5098552091254128
8 0.6797332668802121 0.6800652949898331 130.52649296053235 130.5613909120913 0.5145020332705018 0.5100151868882002
9 0.6796902325599705 0.6800442722108629 130.4842202024217 130.54308822066696 0.5149439319200323 0.5095676563404224
10 0.6796482719009559 0.6800542963875664 130.44492369450856 130.48486299867983 0.5154096575165915 0.5096841696235869
11 0.6796002228588196 0.6800395992067125 130.4039972035308 130.50364080358435 0.5161021548163557 0.5094717196844242
12 0.6795315922123112 0.6800877957432359 130.36139663527078 130.38337289315683 0.5172488711195994 0.5097860203848945
13 0.6793100385205542 0.6801563772890303 130.24444924470885 130.36390702989365 0.5204766111209046 0.5100779440667894
14 0.6787858982530981 0.6803774758621498 130.06196506647058 130.22151331018517 0.5259006166878045 0.5103369463373113
15 0.6777966759676103 0.681090118266918 129.90729230568445 130.03795708550348 0.5330492716868251 0.5105517107027548
16 0.6766648218667515 0.6817701891616539 129.9220026044852 130.09923739963108 0.5394070857269501 0.5105095282748894
