# SpikingRx-on-OAI training log
# start_time = 2025-12-08T22:11:22.588323
# columns: epoch  total_loss
1	205785.553177
2	205340.261948
3	205216.318665
4	204987.329010
5	204479.732208
6	203510.019547
7	201852.542824
8	199454.957787
9	196357.030449
10	192570.520645
11	188287.698494
12	183561.894554
13	178564.535606
14	173344.754028
15	167990.267075
16	162595.383789
17	157215.450607
18	151845.246407
19	146471.679913
20	141190.821827
21	136084.282482
22	130983.450050
23	126022.705990
24	121228.449966
25	116555.602360
26	112043.891251
27	107629.209801
28	103394.795725
29	99288.510851
30	95313.729412
31	91453.444035
32	87808.570219
33	84231.300037
34	80781.104077
35	77509.490712
36	74298.543549
37	71300.800359
38	68332.471517
39	65549.708293
40	62849.711166
41	60219.472309
42	57677.082203
43	55252.063482
44	52956.844219
45	50689.044066
46	48543.457696
47	46474.929175
48	44429.596443
49	42605.070850
50	40781.379126
51	39062.706792
52	37351.684269
53	35847.512187
54	34216.313218
55	32659.694196
56	31247.839788
57	29777.273315
58	28406.391307
59	27155.652142
60	25836.948472
61	24629.886321
62	23514.011824
63	22442.854743
64	21326.116939
65	20317.525860
66	19299.527238
67	18331.203783
68	17394.457483
69	16594.323203
70	15762.478295
71	14940.958766
72	14274.679356
73	13500.075631
74	12827.417430
75	12167.130342
76	11539.987528
77	10944.463560
78	10478.161120
79	9856.848956
80	9440.482982
