noise_db,noise_label,snr_top10_db,group_ber_spikingrx,group_ber_oai,spikingrx_over_oai_ratio
-10.0,minus10dB,34.397277,0.0,0.0,
-8.0,minus8dB,28.815312,0.0,0.0,
-6.0,minus6dB,23.76326,0.0,0.0,
-5.0,minus5dB,27.276879,0.0,0.0,
-4.7,minus4.7dB,22.171492,0.0,0.0,
-4.68,minus4.68dB,21.919578,0.0006465541490858,0.0006465541490857946,1.0000000000000084
-4.65,minus4.65dB,21.352321,0.0009732770745429,0.0009732770745428973,1.0000000000000029
-4.6,minus4.6dB,21.670561,0.0009642053445851,0.0009642053445850915,1.0000000000000089
-4.5,minus4.5dB,21.895025,0.001939170182841,0.001939170182841069,0.9999999999999645
-4.3,minus4.3dB,20.865081,0.007108087201125,0.0071080872011251755,0.9999999999999754
-4.0,minus4dB,21.114638,0.03266694796062,0.03266694796061885,1.0000000000000353
-3.5,minus3.5dB,20.27278,0.1208161744023,0.12081617440225036,1.0000000000004108
-3.0,minus3dB,18.560036,0.2052668776371,0.2052668776371308,0.9999999999998499
-2.0,minus2dB,16.993704,0.2394713080169,0.23947130801687763,1.0000000000000935
-1.0,minus1dB,14.696928,0.242341068917,0.2423410689170183,0.9999999999999245
0.0,0dB,12.15671,0.241426371308,0.2414263713080169,0.99999999999993
2.0,2dB,8.811012,0.2423447257384,0.24234472573839663,1.0000000000000138
